Název nutrientu;Nutrienty základní;Energetická hodnota (kJ);Energetická hodnota (kcal);Bílkoviny celkové [NCF:6.25];Dusík celkový;Tuky celkové [FACF:0.800];Sacharidy celkové;Sacharidy využitelné;Vláknina potravy;Voda celková;Ethanol;Popel;Vitaminy;Vitamin B1 (thiamin);Vitamin B2 (riboflavin);Niacin ekvivalent;Niacin;Foláty celkové;Kyselina pantothenová;Vitamin B6 (pyridoxin);Vitamin B12;Vitamin C;Vitamin A;Retinol;beta-karoten;Vitamin D;Vitamin E;alfa - tokoferol;Minerální látky;Sodík;Hořčík;Fosfor;Draslík;Vápník;Železo;Měď;Zinek;Selen;Jód;Sůl;Cukry, škrob, polyoly, organické kyseliny;Cukry celkové;Fruktosa;Glukosa;Laktosa;Maltosa;Sacharosa;Škrob;Organické kyseliny;Polyoly;Mastné kyseliny a cholesterol;Nasycené mastné kyseliny;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 13:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;C 22:0;Mononenasycené mastné kyseliny;C 14:1;C 16:1;C 17:1;C 18:1, n-9;C 20:1, n-11;C 22:1, n-9;Polynenasycené mastné kyseliny;n-6 mastné kyseliny;C 18:2, n-6;C 18:3, n-6;C 20:4, n-6;n-3 mastné kyseliny;C 18:3, n-3;C 20:5, n-3 (EPA);C 22:5, n-3 (DPA);C 22:6, n-3 (DHA);Trans- mastné kyseliny;C 18:1, n-9 trans;C 18:2, n-6 trans;Cholesterol;Aminokyseliny;Glycin;Alanin;Valin;Leucin;Isoleucin;Serin;Threonin;Lysin;Asparagová kyselina;Glutamová kyselina;Arginin;Cystein;Methionin;Fenylalanin;Tyrosin;Tryptofan;Histidin;Prolin
Kód EuroFIR;;ENERC;ENERC;PROT;NT;FAT;CHOT;CHO;FIBT;WATER;ALC;ASH;;THIA;RIBF;NIAEQ;NIA;FOL;PANTAC;PYRXN;VITB12;VITC;VITA;RETOL;CARTB;VITD;VITE;TOCPHA;;NA;MG;P;K;CA;FE;CU;ZN;SE;ID;NACL;;SUGAR;FRUS;GLUS;LACS;MALS;SUCS;STARCH;OA;POLY;;FASAT;F4:0;F6:0;F8:0;F10:0;F12:0;F13:0;F14:0;F15:0;F16:0;F17:0;F18:0;F20:0;F22:0;FAMS;F14:1CN5;F16:1CN7;F17:1;F18:1CN9;F20:1CN11;F22:1CN9;FAPU;FACN6;F18:2CN6;F18:3CN6;F20:4CN6;FACN3;F18:3CN3;F20:5CN3;F22:5CN3;F22:6CN3;FATRN;F18:1TN9;F18:2 TTN6;CHORL;;GLY;ALA;VAL;LEU;ILE;SER;THR;LYS;ASP;GLU;ARG;CYS;MET;PHE;TYR;TRP;HIS;PRO
Jednotka;;kJ;kcal;g;g;g;g;g;g;g;g;g;;mg;mg;NE;mg;μg;mg;mg;μg;mg;RE;μg;μg;μg;ATE;mg;;mg;mg;mg;mg;mg;mg;mg;mg;μg;μg;g;;g;g;g;g;g;g;g;g;g;;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg
Salát Coleslaw (firma KENTUCKY FRIED CHICKEN);;539;130;1.6;0.3;9.7;9.0;;;78.8;0;0.9;;0.06;0.04;;0.2;;;0.12;;17.5;15;0;180;;1.54;1.54;;131;6;22;145;37;0.2;0.01;0.12;;1.7;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maso vepřové, výrobní, V2;;541;129;20.7;3.3;5.1;0;0;0;73.5;0;1.1;;;;;;;;;;;;;;;;;;47;26;220;330;4;0.7;;1.95;;;0.1;;0;0;0;0;0;0;;;;;1.90;0;0;0;0;0.02;0;0.08;0;1.26;0;0.54;0;0;2.25;0;0.16;0;2.06;0.03;0;0.45;0.42;0.42;0;0;0.03;0.03;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Sýr, Olomoucké tvarůžky;;576;138;30.3;4.7;1.0;1.4;1.4;0;61.9;0;5.5;;0.03;0.43;;;;;;;0;8;8;4;0.06;0.02;0.02;;1918;5;267;83;130;0.2;0.02;1.00;;27;4.8;;1.4;;;1.4;;;;;;;0.61;0.03;0.02;0.01;0.03;0.04;;0.10;;0.28;;0.10;;;0.26;0.01;0.02;;0.21;0.01;;0.03;0.02;0.02;;;0.01;0.01;;;;;;;3;;;;;;;;;;;;;;;;;;;
Rukola;;74;18;2.7;0.4;0.3;2.1;0;2.1;93.1;;1.8;;;;;;;;;;;;;;;;;;60;;;;;;;;;;0.15;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Mouka ze svatojánského chleba;;1217;291;4.8;0.8;0.6;87.1;46.2;40.9;3.8;;3.7;;;;;;;;;;;;;;;;;;8;;;;;;;;;;0.02;;29.7;3.9;1.5;0;0;24.2;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Maso kuřecí, strojně oddělené I (tvrdé oddělování);;729;175;16.3;2.6;12.2;0;0;0;70.7;;1.0;;;;;;;;;;;;;;;;;;72;;;;;;;;;;0.18;;0;0;0;0;0;0;;;;;3.11;0;0;0;0;0;0;0.08;0;2.24;0;0.79;0;0;6.07;0;0.47;0;5.53;0.08;0;2.18;1.88;1.86;0;0.03;0.30;0.31;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Houby, houževnatec jedlý (Shii-ta-ke), sušený;;1181;283;21.7;3.46;2.6;61.98;24.14;37.84;8.8;;4.8;;;;;;;;;;;;;;;;;;6;;;;;;;;;;0.01;;5.60;0.12;1.79;0;0;3.69;;;;;0.26;0;0;0;0;0;0;0;0;0.24;0;0.02;0;0;0.06;0;0;0;0.06;0;0;1.80;1.80;1.80;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Karubin;;809;200;6.3;1.0;1.3;78.0;3.3;74.7;13.4;;1.0;;;;;;;;;;;;;;;;;;58;;;;;;;;;;0.15;;0;0;0;0;0;0;;;;;0.04;0;0;0;0;0;0;0;0;0.01;0;0.03;0;;0.57;0;0;0;0.56;0.01;0;0.37;0.36;0.36;0;0;0.01;0.01;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Siven americký, maso s kůží;;611;146;17.0;2.72;8.7;0;0;0;73.2;;1.5;;;;;;;;;;;;;;;;;;50;;;;;;;;;;0.13;;0;0;0;0;0;0;;;;;1.14;0;0;0;0;0;0;0.13;0;0.81;0;0.20;0;0;4.46;0;0.32;0;3.89;0.25;0;1.87;1.23;1.23;0;0;0.64;0.29;0.11;;0.24;0;0;0;;;;;;;;;;;;;;;;;;;;
Smažený sýr v housce s tatarskou omáčkou, trh;;1340;320;10.2;1.6;13.2;40.0;;;33.8;0;2.7;;0.06;0.14;;0.5;;;0.04;;0;51;50;10;;2.74;2.74;;533;17;216;95;262;0.74;0.10;1.50;;8.3;1.3;;;;;;;;;;;;2.49;0.06;0.04;0.03;0.07;0.09;;0.30;;1.39;;0.44;0.07;;6.89;0.04;0.10;;6.58;0.17;;3.09;2.13;2.13;;;0.96;0.96;;;;;;;;;;;;;;;;;;;;;;;;;;
Lín obecný, maso s kůží;;399;95;17.6;2.81;2.7;0;0;0;78.9;;1.2;;;;;;;;;;;;;;;;;;42;;;;;;;;;;0.10;;0;0;0;0;0;0;;;;;0.52;0;0;0;0;0;0;0.03;0;0.43;0;0.07;0;0;0.99;0;0.22;0;0.77;0;0;0.30;0.20;0.20;0;0;0.10;0.05;0.02;;0.03;0;0;0;;;;;;;;;;;;;;;;;;;;
Lilek;;77;18;0.8;0.1;0;5.0;2.8;2.2;93.8;;0.5;;;;;;;;;;;;;;;;;;3;;;;;;;;;;0.01;;2.3;1.0;1.3;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Škrob tapiokový;;1502;354;0.1;0;0.3;87.5;87.4;0.1;11.8;;0.2;;;;;;;;;;;;;;;;;;12;;;;;;;;;;0.03;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Pohanka, loupaná, lámanka;;1462;345;11.1;1.77;2.1;72.7;68.3;4.4;12.7;;1.4;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;0.9;0.1;0;0;0;0.8;;;;;0.26;0;0;0;0;0;0;0.01;0;0.22;0;0.02;0.01;0;0.58;0;0;0;0.55;0.03;0;0.54;0.51;0.51;0;0;0.03;0.03;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Tuňák, uzený, maso bez kůže;;519;122;29.9;4.78;0.3;0;0;0;67.7;;2.3;;;;;;;;;;;;;;;;;;489;;;;;;;;;;1.22;;0;0;0;0;0;0;;;;;0.05;0;0;0;0;0;0;0;0;0.04;0;0.01;0;0;0.09;0;0.03;0;0.07;0;0;0.02;0.01;0.01;0;0;0.01;0.01;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Kapusta kadeřavá;;134;32;3.9;0.62;0.5;3.38;2.47;0.91;90.4;;1.8;;;;;;;;;;;;;;;;;;38;;;;;;;;;;0.10;;0.19;0.19;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Salát kemping, trh;;826;199;5.7;0.9;17.4;5.0;;;69.8;0;2.1;;0.06;0.05;;1.0;;;0.10;;0;20;10;120;;3.99;3.99;;515;10;83;142;27;0.4;0.05;0.74;;8.9;1.3;;;;;;;;;;;;3.22;0;0;0;0;0;;0.14;;2.04;;0.91;0.08;0.05;9.85;0.02;0.20;;9.31;0.22;0.10;3.33;2.53;2.53;;;0.80;0.80;;;;;;;;;;;;;;;;;;;;;;;;;;
Semena teffová, světlá;;888;218;9.2;1.46;3.3;71.4;4.2;67.2;14.1;;2.0;;;;;;;;;;;;;;;;;;2;;;;;;;;;;0.01;;1.3;0.4;0.5;0;0;0.4;;;;;0.56;0;0;0;0;0;0;0.02;0;0.41;0;0.13;0;0;0.66;0;0.01;0;0.65;0;0;1.12;1.00;1.00;0;0;0.12;0.12;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso kuřecí, strojně oddělené II – baader (měkké oddělování);;551;131;21.3;3.4;5.1;0;0;0;72.8;;1.1;;;;;;;;;;;;;;;;;;39;;;;;;;;;;0.10;;0;0;0;0;0;0;;;;;1.47;0;0;0;0;0;0;0.04;0;1.06;0;0.37;0;0;2.45;0;0.22;0;2.20;0.03;0;0.89;0.79;0.79;0;0;0.09;0.09;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Tamarillo, (rajčenka);;193;46;1.9;0.30;0.9;10.1;5.2;4.9;86.2;;0.9;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;4.6;1.7;1.5;0;0;1.4;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Sůl jedlá;;0;0;0;0;0;0;0;0;0.5;0;99.5;;0;0;;;;;;;0;0;0;0;;0;0;;38850;265;8;116;19;0.02;;;;;97.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Kukuřice, cukrová, lyofilizovaná;;1591;378;12.2;1.96;6.6;74.1;60.7;13.4;5.1;;2.0;;;;;;;;;;;;;;;;;;11;;;;;;;;;;0.03;;23.0;0.4;0.2;0;0;22.4;;;;;1.27;0;0;0;0;0;0;0.01;0;1.14;0;0.12;0;0;2.12;0;0.02;0;2.08;0.02;0;1.88;1.82;1.82;0;0;0.06;0.06;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Krupice, pšeničná, hrubá, T 480, obsah popele max. 0,5 % v suš.;;1460;343;10.8;1.7;1.2;74.0;70.5;3.5;13.7;0;0.4;;0.07;0.04;;0.9;;0.37;0.06;;0;0;0;4;;0.18;0.18;;1;15;86;108;16;0.5;;0.56;;;0;;0.5;0.0;0.2;0;0.1;0.2;;;;;0.18;0;0;0;0;0;0;0;0;0.15;0;0.02;0;0.01;0.09;0;0;0;0.09;0;0;0.52;0.49;0.49;;;0.03;0.03;;;;0;0;0;0;;357;305;426;716;363;495;282;488;424;3508;408;347;133;521;325;;215;1189
Ořech, kolový, celý;;1036;250;9.3;1.49;0.9;74.9;27.1;47.8;11.7;;3.2;;;;;;;;;;;;;;;;;;2;;;;;;;;;;0.01;;2.3;0.8;0.7;0;0;0.8;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Rajčata;;88;21;0.9;0.1;0.2;4.7;3.1;1.6;93.7;0;0.5;;0.07;0.05;;;;;;;18.7;53;0;640;;0.80;0.80;;7;8;24;280;9;0.7;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.10;0.10;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Banány, lyofilizované;;1549;366;6.7;1.07;0.9;87.5;78.0;9.5;1.9;;3.0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;58.1;13.2;12.5;0;0;32.4;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Otruby žitné;;1170;281;14.6;2.34;2.8;68.2;30.2;38.0;10.0;;4.4;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;3.5;1.0;1.0;0;0;1.5;;;;;0.32;0;0;0;0;0;0;0;0;0.30;0;0.02;0;0;0.48;0;0;0;0.45;0.02;0;1.52;1.35;1.35;0;0;0.17;0.17;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Rýže loupaná, dušená v nesolené vodě;;597;141;2.6;0.4;0.2;32.4;31.8;0.6;64.7;0;0.1;;0.05;0;;0.2;;;0.02;;;;;;;0.01;0.01;;;4;28;17;3;0.1;;0.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Křepelka stehna bez kůže;;505;120;19.5;3.11;4.7;0;0;0;73.6;;1.2;;;;;;;;;;;;;;;;;;71;;;;;;;;;;0.18;;0;0;0;0;0;0;;;;;1.24;0;0;0;0;0;0;0.03;0;0.96;0;0.25;0;0;1.89;0;0.25;0;1.64;0;0;1.28;1.21;1.21;0;0;0.08;0.08;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Máslo;;3095;753;0.6;0.1;83.0;0.8;0.8;0;15.3;0;0.1;;0.01;0.04;;;;;;;0;767;706;365;0.73;2.12;2.12;;7;2;21;20;22;0;0.01;0;;2.3;0.02;;0.8;0;0;0.8;0;0;;;;;50.67;0;1.44;0.95;2.33;2.91;0;9.43;0;25.96;0;7.65;0;0;19.57;0;1.44;0;18.13;0;0;1.59;1.20;1.20;0;0;0.39;0.39;0;;0;2.48;2.48;0;274;;;;;;;;;;;;;;;;;;;
Srdce kuřecí;;424;101;13.8;2.2;4.7;0.9;0.9;0;79.6;;1.0;;;;;;;;;;;;;;;;;;81;;;;;;;;;;0.20;;0;0;0;0;0;0;;;;;1.07;0;0;0;0;0.01;0;0.03;0;0.73;0;0.30;0;0;1.90;0;0.17;0;1.70;0.03;0;0.72;0.65;0.59;0;0.06;0.07;0.07;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Tolstolobik bílý, maso s kůží;;634;152;15.3;2.44;10.1;0;0;0;73.4;;1.3;;;;;;;;;;;;;;;;;;49;;;;;;;;;;0.12;;0;0;0;0;0;0;;;;;2.78;0;0;0;0;0;0;0.28;0;2.09;0;0.41;0;0;5.12;0;1.22;0;3.76;0.14;0;0.64;0.16;0.16;0;0;0.49;0.27;0.12;;0.10;0;0;0;;;;;;;;;;;;;;;;;;;;
Losos gorbuša, maso s kůží;;363;86;18.5;2.95;1.3;0;0;0;77.8;;1.3;;;;;;;;;;;;;;;;;;144;;;;;;;;;;0.36;;0;0;0;0;0;0;;;;;0.22;0;0;0;0;0;0;0.03;0;0.15;0;0.04;0;0;0.22;0;0.04;0;0.16;0.03;0;0.19;0.01;0.01;0;0;0.18;0.01;0.06;;0.11;0;0;0;;;;;;;;;;;;;;;;;;;;
Těstoviny, bezvaječné, celozrnné, vařené v nesolené vodě;;631;149;6.2;1.0;0.6;31.4;28.0;3.4;61.5;0;0.3;;0.15;0.01;;0.5;;;0.04;;;;;;;0.02;0.02;;1;18;58;36;15;0.6;;0.73;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Sýr, tavený, jemný, Maratónec, 65 %, t. v s.;;1330;321;11.1;1.7;29.5;2.7;2.7;0;54.3;0;2.4;;0.02;0.47;;;;;;;0;262;251;130;0.30;0.75;0.75;;902;15;379;62;361;0.3;0.06;1.60;;10.0;2.3;;2.7;;;2.7;;;;;;;19.09;1.00;0.65;0.41;0.91;1.15;;3.25;;8.73;;2.98;;;7.97;0.41;0.65;;6.55;0.35;;0.86;0.62;0.62;;;0.24;0.24;;;;;;;97;;;;;;;;;;;;;;;;;;;
Šrot sojový;;1271;302;45.0;7.20;1.9;35,5;16,9;18,6;11.0;;6.6;;;;;;;;;;;;;;;;;;2;;;;;;;;;;0.01;;7,6;0,2;0;0;0;7,4;;;;;0.29;0;0;0;0;0;0;0;0;0.23;0;0.07;0;0;0.23;0;0;0;0.23;0;0;1.02;0.87;0.87;0;0;0.15;0.15;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Jidášovo ucho, sušené;;762;188;5.9;0.9;0.7;76.4;2.6;73.9;12.6;;4.3;;;;;;;;;;;;;;;;;;30;;;;;;;;;;0.07;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Mouka nopálová;;815;198;5.4;0.86;1.4;67.4;14.6;52.8;6.4;;19.4;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;3.6;2.1;1.3;0;0;0.2;;;;;0.40;0;0;0;0;0;0;0.03;0;0.24;0;0.05;0.08;0;0.24;0;0;0;0.07;0.18;0;0.11;0.08;0.08;0;0;0.03;0.03;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Šprot obecný, maso s kůží;;770;185;14.8;2.36;14.0;0;0;0;68.8;;1.6;;;;;;;;;;;;;;;;;;64;;;;;;;;;;0.16;;0;0;0;0;0;0;;;;;3.82;0;0;0;0;0;0;0.58;0;2.92;0;0.32;0;0;4.52;0;0.68;0;3.77;0.07;0;2.01;0.38;0.38;0;0;2.11;0.33;0.74;;1.03;0;0;0;;;;;;;;;;;;;;;;;;;;
Žaludky kuřecí;;307;73;15.0;2.4;1.4;0;0;0;81.1;;0.8;;;;;;;;;;;;;;;;;;63;;;;;;;;;;0.16;;0;0;0;0;0;0;;;;;0.37;0;0;0;0;0;0;0.01;0;0.27;0;0.09;0;0;0.57;0;0.05;0;0.51;0.01;0;0.18;0.16;0.16;0;0;0.02;0.02;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Koryféna velká (zlak nachový, mahi-mahi), maso s kůží;;422;100;22.4;3.58;1.1;0;0;0;74.3;;1.6;;;;;;;;;;;;;;;;;;48;;;;;;;;;;0.12;;0;0;0;0;0;0;;;;;0.33;0;0;0;0;0.01;0;0.04;0;0.21;0;0.07;0;0;0.18;0;0.04;0;0.13;0.01;0;0.16;0.01;0.01;0;0;0.15;0.01;0.02;;0.12;0;0;0;;;;;;;;;;;;;;;;;;;;
Slad karamelový;;1455;345;9.0;1.4;2.5;80.0;63.2;16.7;6.6;;1.9;;;;;;;;;;;;;;;;;;2;;;;;;;;;;0.01;;8.5;0.4;1.8;0;0;6.3;;;;;0.59;0;0;0;0;0;0;0.01;0;0.53;0;0.05;0.01;0;0.37;0;0;0;0.34;0.02;0;1.45;1.32;1.32;0;0;0.14;0.14;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Škrob pšeničný;;1470;345;0.5;0.1;0.2;85.4;85.2;0.2;13.6;0;0.3;;;;;;;;;;;;;;;;;;5;17;51;14;15;1.3;;;;;0;;;;;;;;83.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Vločky pohankové;;1482;350;11.5;1.8;2.7;73.8;66.3;7.5;10.3;;1.8;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;1.0;0;0;0;0;1.0;;;;;0.52;0;0;0;0;0;0;0;0;0.38;0;0.06;0.04;0.04;1.04;0;0.01;0;0.95;0.08;0;1.00;0.94;0.94;0;0;0.06;0.06;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Shiitake, čerstvé;;141;34;3.9;0.6;0.4;4.9;2.0;2.9;89.7;;1.0;;;;;;;;;;;;;;;;;;3;;;;;;;;;;0.01;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Špalda;;1530;362;15.4;2.6;4.1;70.7;61.2;9.5;8.1;0;1.9;;0.31;0.08;;4.8;;0.64;0.29;;;;0;;;0.87;0.87;;3;123;440;355;40;3.6;0.58;3.5;;;0;;;;;;;;;;;;0.51;;;;;;;0.01;;0.45;;0.04;0.01;0.01;0.78;0.01;0.01;;0.73;0.03;0.01;1.63;1.53;1.53;;;0.10;0.10;;;;;;;0;;449;368;490;779;553;514;431;314;777;4093;725;433;240;877;349;;431;1767
Broskve, lyofilizované;;1549;365;3.0;0.48;0.5;90.7;83.8;6.9;4.4;;1.4;;;;;;;;;;;;;;;;;;90;;;;;;;;;;0.23;;74.3;29,6;33.6;0;0;11.1;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Sýr syrovátkový;;747;178;8.3;1.3;14.2;4.7;4.7;0;71.2;;1.6;;;;;;;;;;;;;;;;;;185;;;;;;;;;;0.46;;3.5;0;0;3.5;0;0;;;;;9.07;0.27;0.19;0.13;0.32;0.42;0;0.18;0.15;0.59;0.09;0.25;0;0;3.69;0.13;0.26;0;0.29;0;0;0.38;0.28;0.25;0;0;0;0.06;0;;0;0.28;0.31;0;;;;;;;;;;;;;;;;;;;;
Kořen černý;;309;73;3.5;0.56;0.4;16.0;11.8;4.2;79.2;;0.9;;;;;;;;;;;;;;;;;;6;;;;;;;;;;0.01;;2.1;0.7;0;0;0;1.4;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Višně;;234;56;1.0;0.2;0.5;12.6;10.9;1.7;85.4;0;0.5;;0.04;0.05;;;;;;;8.9;20;0;240;;0.07;0.07;;5;12;24;184;17;0.6;;;;;0;;9.0;3.9;4.6;;;0.5;;;;;0.08;;;;;;;;;0.06;;0.02;;;0.11;;;;0.11;;;0.12;0.06;0.06;;;0.06;0.06;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso vepřové, krkovice bez kosti, syrová (separovatelný tuk 3 %);;779;187;19.5;3.1;12.1;0;0;0;67.3;0;1.0;;0.78;0.12;;6.3;;0.68;0.36;;0;4;4;0;;0.39;0.39;;53;23;201;321;5;0.9;;2.72;;;0.1;;0;;;;;;;;;;3.16;;;;0.02;0.01;;0.19;;2.88;0.04;1.75;0.02;;4.56;;0.26;;4.18;0.09;;1.24;1.16;1.13;;0.03;0.08;0.08;;;;0.02;0.02;;49;;1030;1365;1177;1899;1109;947;1130;609;2227;3567;1553;355;649;931;1017;;1007;837
Candát obecný, maso bez kůže;;308;73;17.7;2.83;0.2;0;0;0;79.7;;1.0;;;;;;;;;;;;;;;;;;46;;;;;;;;;;0.12;;0;0;0;0;0;0;;;;;0.05;0;0;0;0;0;0;0.01;0;0.04;0;0.01;0;0;0.06;0;0.01;0;0.05;0;0;0.04;0.01;0.01;0;0;0.03;0;0.01;;0.02;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso bažantí, stehno;;607;145;19.4;3.11;7.5;0;0;0;71.4;;1.0;;;;;;;;;;;;;;;;;;60;;;;;;;;;;0.15;;0;0;0;0;0;0;;;;;2.44;0;0;0;0;0;0;0.04;0;1.91;0;0.49;0;0;3.55;0;0.48;0;3.07;0;0;1.09;1.02;1.02;0;0;0.07;0.07;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Žralok, maso s kůží;;403;95;23.5;3.76;0.1;0;0;0;74.9;;1.5;;;;;;;;;;;;;;;;;;85;;;;;;;;;;0.21;;0;0;0;0;0;0;;;;;0.05;0;0;0;0;0;0;0;0;0.03;0;0.01;0;0;0.04;0;0;0;0.03;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Chicken Mc Nuggets (firma McDONALD´S);;1120;269;20.2;3.2;14.6;14.1;;;48.8;0;2.3;;0.10;0.13;;7.6;;;0.24;;0.0;11;10;10;;1.11;1.11;;521;22;207;251;16;0.6;0.07;1.08;;2.4;1.3;;;;;;;;;;;;3.56;;;;;;;0.05;;1.58;;1.81;0.08;0.04;8.09;;0.25;;7.72;0.12;;1.74;1.58;1.58;;;0.16;0.16;;;;;;;;;;;;;;;;;;;;;;;;;;
Holoubě, celé, maso bez kůže;;806;194;18.9;3.02;13.1;0;0;0;65.8;;1.7;;;;;;;;;;;;;;;;;;85;;;;;;;;;;0.21;;0;0;0;0;0;0;;;;;3.37;0;0;0;0;0;0;0.05;0;2.67;0;0.65;0;0;7.39;0;1.45;0;5.89;0.05;0;1.51;1.45;1.43;0;0.02;0.06;0.06;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Hrušky, loupané, průměr;;194;46;0.4;0.07;0.2;11.4;9.9;1.5;87.5;;0.5;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;8.8;7.6;1.2;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Hranolky bramborové, smažené, trh;;1310;314;4.3;0.7;15.5;39.2;;;39.6;0;1.5;;0.10;0.05;;3.0;;;0.43;;1.1;23;20;30;;2.10;2.10;;116;26;128;543;14;0.5;0.15;0.63;;3.6;0.3;;;;;;;;;;;;3.96;0;0;0;0;0;;0.03;;2.44;;1.32;0.10;0.07;9.14;0;0.04;;8.87;0.18;0.05;1.58;1.19;1.19;;;0.39;0.39;;;;;;;;;;;;;;;;;;;;;;;;;;
